1,"A'Bhuidheanach Bheag",350001,"A' Bhuidheanach Bheag",56.8716,-4.1969,936.0,178.1
2,"A'Chailleach",350024,"A'Chailleach (Fannaich Region)",57.6926,-5.1328,999.0,275.3
3,"A'Chailleach",350025,"A'Chailleach (Monadh Liath Region)",57.1087,-4.1776,930.0,139.9
4,"A'Chraileag (A'Chralaig)",350029,"A'Chralaig",57.1825,-5.1542,1120.0,197.3
5,"A'Ghlas-bheinn",350044,"A'Ghlas-Bheinn",57.2549,-5.3033,918.0,31.4
6,"A'Mhaighdean",350089,"A'Mhaighdean",57.7209,-5.3464,967.0,140.9
7,"A'Mharconaich",350090,"A'Mharconaich",56.859,-4.2929,975.0,261.2
8,"Am Basteir",350081,"Am Basteir",57.2474,-6.2007,935.0,149.4
9,"Am Bodach",350082,"Am Bodach",56.7428,-4.9823,1032.0,136.7
10,"Am Faochagach",350083,"Am Faochagach",57.7715,-4.8545,954.0,48.9
11,"An Caisteal",350094,"An Caisteal",56.3384,-4.6282,995.0,237.2
12,"An Coileachan",350096,"An Coileachan",57.6686,-4.9476,923.0,156.5
13,"An Gearanach",350097,"An Gearanach",56.7602,-4.9664,982.0,118.1
14,"An Riabhachan",350098,"An Riabhachan",57.3647,-5.0992,1129.0,416.7
15,"An Sgarsoch",350099,"An Sgarsoch",56.9345,-3.7491,1006.0,428.8
16,"An Socach",350102,"An Socach (Loch Mullardoch)",57.3508,-5.1563,1069.0,152
17,"An Socach",350100,"An Socach (Glen Ey)",56.9055,-3.51,944.0,404.4
18,"An Socach",350101,"An Socach (Highland)",57.2574,-5.1679,920.0,204.6
19,"An Stuc",350103,"An Stuc",56.5605,-4.2145,1118.0,116.8
20,"An Teallach-Bidein a'Ghlas Thuill",350421,"Bidein A' Ghlas Thuill",57.8079,-5.2483,1062.0,223.9
21,"An Teallach-Sgurr Fiona",353433,"Sgurr Fiona",57.7998,-5.257,1059.0,177.6
22,"Aonach air Chrith",350116,"Aonach Air Chrith",57.123,-5.2228,1021.0,203.8
23,"Aonach Beag",350117,"Aonach Beag (1238m)",56.7981,-4.9508,1238.0,292.3
24,"Aonach Beag",350118,"Aonach Beag (Highland)",56.8348,-4.5266,1114.0,213.7
25,"Aonach Eagach-Meall Dearg",352583,"Meall Dearg",56.6818,-5.0043,951.0,135.5
26,"Aonach Eagach-Sgorr nam Fiannaidh",353412,"Sgorr Nam Fiannaidh",56.682,-5.0398,966.0,332.8
27,"Aonach Meadhoin",350120,"Aonach Meadhoin",57.1709,-5.2325,1003.0,316.8
28,"Aonach Mor",350119,"Aonach Mor",56.8122,-4.9575,1219.0,270.8
